Node name,1st Packet ms,2nd Packet ms,3rd Packet ms
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,11,*,*,*
planetlab04.cs.washington.edu,12,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
planetlab04.cs.washington.edu,13,*,*,*
planetlab04.cs.washington.edu,14,*,*,*
